vehicle_type,fuel_capacity_liters,current_fuel_liters,avg_mileage_kmpl,daily_travel_km,days_since_last_refill,historical_avg_refill_gap_days,highway_ratio,fuel_exhaustion_days
truck,83.1,25.9,11.0,91.7,6,20,0.45,3.07
truck,71.8,12.3,8.3,92.7,0,13,0.79,1.3
suv,76.9,6.8,15.4,50.6,8,3,0.72,2.43
suv,72.1,71.9,14.2,49.0,29,20,0.37,21.69
hatchback,33.3,18.7,23.1,110.0,6,17,0.06,3.82
truck,116.6,25.9,8.6,12.3,28,13,0.54,21.33
truck,109.6,38.6,5.6,39.1,13,5,0.53,5.81
hatchback,40.9,32.5,14.9,71.5,25,10,0.17,6.76
sedan,48.3,29.9,16.7,53.2,4,11,0.25,10.0
hatchback,43.4,42.1,23.5,27.2,6,14,0.99,45.88
motorcycle,19.8,1.1,49.0,90.0,27,15,0.88,0.73
truck,110.5,104.6,8.8,5.8,14,4,0.63,192.48
suv,59.4,42.0,15.5,57.8,8,12,0.47,12.32
motorcycle,14.1,5.6,42.7,82.5,27,18,0.32,2.96
truck,72.1,50.5,11.1,32.7,7,5,0.45,19.29
hatchback,30.1,24.1,16.9,6.1,17,18,0.52,75.8
motorcycle,15.4,8.2,38.7,40.1,11,17,0.45,8.74
truck,69.8,7.5,8.3,58.5,4,10,0.47,1.16
sedan,53.1,9.3,18.9,73.3,24,3,0.94,2.68
sedan,47.4,40.3,14.5,90.0,3,11,0.4,7.56
suv,52.8,39.1,8.3,26.9,9,5,0.1,11.6
truck,118.3,102.9,9.4,99.2,21,17,0.26,10.08
sedan,43.3,24.6,19.1,8.5,15,20,0.81,65.55
hatchback,32.6,4.5,19.2,69.3,22,13,0.45,1.33
truck,78.2,9.3,8.8,92.8,23,16,0.83,0.98
hatchback,31.9,14.5,20.1,82.7,11,4,0.65,4.04
hatchback,40.9,40.6,20.9,84.0,2,15,1.0,11.77
sedan,50.6,31.4,12.8,88.6,22,10,0.71,5.3
truck,98.3,93.8,11.9,5.4,14,4,0.63,229.28
motorcycle,11.1,7.7,57.8,116.5,27,19,0.81,4.61
sedan,50.7,4.7,16.1,43.8,3,12,0.41,1.84
sedan,48.7,29.7,21.8,112.8,5,6,0.72,6.51
truck,79.2,35.0,6.2,62.1,25,12,0.67,3.88
truck,64.0,56.2,11.6,76.1,27,5,0.13,8.66
hatchback,36.1,12.4,19.9,39.7,27,18,0.25,6.6
truck,73.6,62.7,7.2,43.9,25,17,0.24,10.65
hatchback,43.0,11.5,14.8,99.3,18,20,0.29,1.85
sedan,36.8,8.4,19.7,115.9,12,15,0.82,1.72
suv,52.5,31.1,10.2,111.5,20,6,0.81,3.13
motorcycle,12.8,9.4,52.9,88.9,4,9,0.9,6.38
sedan,36.2,15.1,20.2,19.6,12,7,0.75,18.6
truck,110.5,31.3,6.5,110.2,25,3,0.11,1.94
motorcycle,14.2,7.7,58.5,53.3,27,15,0.66,8.97
suv,53.6,40.2,12.2,30.9,18,11,0.56,18.01
suv,75.6,16.4,14.2,6.0,5,16,0.2,40.55
hatchback,39.0,8.4,17.7,32.9,8,11,0.94,5.83
motorcycle,17.7,13.3,32.5,40.7,20,6,0.57,12.18
hatchback,31.3,28.0,23.7,28.3,26,11,0.84,24.7
sedan,44.6,23.3,16.0,111.9,23,20,0.19,3.54
motorcycle,13.0,2.6,44.6,96.9,10,14,0.22,1.25
sedan,46.0,16.0,18.3,12.9,12,17,0.55,23.86
hatchback,30.9,27.3,15.4,82.5,13,8,0.4,5.5
motorcycle,17.3,9.2,47.8,92.5,4,13,0.45,5.59
hatchback,31.4,9.6,20.3,30.1,1,4,0.84,8.22
motorcycle,10.2,5.3,57.0,30.8,3,13,0.43,10.7
hatchback,40.6,19.0,18.6,82.0,23,19,0.75,4.88
suv,69.7,57.9,14.3,88.0,11,19,0.12,9.11
hatchback,33.3,28.9,22.6,114.4,23,10,0.54,6.75
suv,69.3,53.6,10.9,25.6,24,4,0.01,23.94
hatchback,35.3,4.1,17.2,77.2,3,14,0.05,0.98
motorcycle,19.3,7.2,37.7,88.5,4,13,0.21,3.35
motorcycle,17.1,2.1,44.4,18.7,1,15,0.6,5.54
motorcycle,14.0,4.2,31.2,41.7,28,18,0.36,3.32
truck,79.4,74.8,5.3,93.2,19,19,0.94,5.44
sedan,36.4,33.9,15.4,65.3,12,5,0.17,7.94
motorcycle,16.3,12.8,38.1,90.2,28,7,1.0,6.69
suv,63.1,45.1,11.7,42.7,28,13,0.43,13.57
motorcycle,19.8,10.3,54.3,81.7,2,13,0.46,7.22
truck,76.3,18.5,7.8,30.9,7,20,0.73,5.48
suv,68.3,6.5,13.1,59.9,18,17,0.15,1.55
truck,71.6,6.7,10.1,5.9,15,10,0.23,12.18
suv,53.6,14.0,14.4,20.2,4,5,0.33,10.79
hatchback,30.8,24.9,18.4,85.4,0,16,0.64,5.65
sedan,46.9,35.7,15.0,112.3,19,4,0.87,5.08
sedan,36.2,34.3,21.5,7.1,27,13,0.9,132.75
truck,70.7,34.7,11.4,42.1,17,8,0.1,9.52
sedan,36.5,32.2,14.5,7.6,12,4,0.98,76.8
truck,66.7,31.3,6.3,90.7,2,3,0.74,2.57
truck,96.1,86.8,6.7,69.5,16,10,0.99,10.08
truck,72.3,11.1,9.3,30.7,11,19,0.97,4.06
sedan,46.7,31.3,19.4,74.1,11,19,0.08,7.81
truck,61.2,47.3,8.8,85.3,29,18,0.01,5.14
sedan,39.5,27.5,19.9,57.2,17,14,0.15,9.06
truck,88.6,57.7,5.4,87.5,6,10,0.55,3.98
motorcycle,10.7,1.1,56.7,61.3,9,7,0.28,1.02
truck,92.6,16.5,10.2,99.7,6,13,0.11,1.85
suv,53.8,6.3,14.5,96.6,18,15,0.54,1.06
truck,90.7,5.9,9.0,108.6,11,13,0.65,0.54
hatchback,31.1,14.6,23.7,78.8,28,4,0.27,4.34
truck,63.9,12.5,8.4,44.7,14,8,0.15,2.51
suv,75.3,14.6,14.8,71.5,24,19,0.27,3.5
suv,61.7,28.9,8.7,101.8,6,4,0.48,2.74
sedan,52.7,52.1,12.2,50.2,19,17,0.65,12.6
motorcycle,19.9,13.2,33.3,101.9,21,18,0.42,4.65
truck,107.4,70.6,6.3,66.6,4,10,0.86,8.09
sedan,38.1,19.1,16.8,108.4,1,6,0.66,3.25
motorcycle,16.5,3.3,40.3,109.6,25,20,0.82,1.48
truck,80.1,56.8,9.9,119.3,26,12,0.74,5.4
hatchback,32.8,27.7,22.4,32.2,25,7,0.7,21.28
truck,104.3,68.9,12.0,104.9,9,13,0.67,8.76
suv,51.9,34.2,15.8,100.1,8,3,0.85,6.06
suv,75.7,44.1,12.1,51.7,15,18,0.26,9.94
hatchback,36.5,9.0,17.5,80.0,29,10,0.39,2.09
sedan,48.8,7.4,17.4,111.0,23,11,0.27,1.23
motorcycle,16.8,1.9,32.1,105.0,17,14,0.46,0.6
truck,116.7,38.0,11.3,117.0,4,3,0.45,4.35
suv,77.9,23.0,10.2,55.7,3,17,0.71,5.19
sedan,49.6,22.3,12.8,76.6,5,6,0.38,4.19
hatchback,30.8,16.8,19.4,77.3,21,19,0.2,4.26
suv,79.2,55.2,12.5,47.2,10,4,0.37,14.54
hatchback,32.6,17.1,19.9,32.6,17,13,0.9,12.32
truck,88.4,75.9,11.5,15.6,4,6,0.48,56.54
motorcycle,13.3,8.9,30.1,116.3,8,8,0.92,2.98
suv,53.3,13.5,9.9,119.6,24,20,0.87,1.24
suv,78.7,70.4,11.5,70.9,1,4,0.98,14.63
truck,87.0,73.9,7.1,47.8,23,11,0.21,11.52
sedan,39.6,16.6,15.7,118.5,28,13,0.81,2.83
motorcycle,18.0,14.5,47.0,42.5,21,5,0.32,17.63
suv,58.5,27.4,13.2,102.1,1,8,0.28,3.76
motorcycle,18.9,2.4,48.2,104.0,12,10,0.44,1.16
suv,64.9,60.5,15.2,43.8,4,14,0.7,24.19
motorcycle,13.4,1.8,45.2,74.2,14,19,0.1,1.09
hatchback,38.1,11.9,16.8,105.0,24,7,0.63,2.02
suv,71.5,31.4,8.2,79.3,18,18,0.47,3.4
motorcycle,11.9,3.5,56.7,28.5,25,15,0.45,8.04
sedan,53.7,22.5,13.8,68.1,8,4,0.64,4.99
hatchback,39.4,36.8,23.6,73.6,21,12,0.98,14.03
hatchback,38.1,10.0,15.9,21.3,12,13,0.59,8.18
sedan,47.8,45.6,13.6,90.6,1,15,0.82,8.09
motorcycle,17.0,15.8,51.4,52.2,8,19,0.67,18.34
truck,102.4,13.3,9.1,109.6,5,13,0.96,1.31
sedan,40.4,15.8,19.5,31.8,19,8,0.73,10.55
motorcycle,16.3,9.8,46.7,100.0,4,14,0.75,5.37
sedan,50.2,36.6,17.1,50.5,9,20,0.73,12.69
sedan,47.5,39.9,12.6,116.8,9,11,0.89,5.06
suv,56.1,48.3,10.4,113.2,28,20,0.93,5.18
motorcycle,19.9,10.2,46.5,84.9,6,5,0.78,5.99
truck,73.4,22.9,5.7,79.1,11,7,0.33,1.58
suv,52.2,19.6,11.3,108.0,23,16,0.78,2.52
sedan,50.2,40.3,21.5,96.5,3,19,0.82,9.51
sedan,41.1,10.0,13.4,26.2,27,14,0.89,6.04
sedan,53.6,31.9,20.4,26.1,6,13,0.08,25.37
motorcycle,15.7,7.9,44.5,70.7,14,12,0.03,5.47
motorcycle,18.0,7.6,52.3,114.1,13,20,0.09,3.42
suv,72.3,5.4,8.4,84.8,5,13,0.55,0.57
truck,109.5,40.3,10.3,102.2,28,19,0.66,4.32
suv,66.0,11.7,11.4,52.0,7,20,0.49,2.8
hatchback,44.4,42.6,21.7,117.7,16,10,0.39,8.81
sedan,41.7,30.5,17.8,21.8,2,16,0.22,23.86
sedan,42.8,22.6,17.1,91.8,8,14,0.34,4.74
sedan,51.1,20.0,19.5,106.6,4,5,0.83,4.03
suv,73.2,49.3,14.1,117.6,11,17,0.86,7.48
suv,57.1,15.8,9.8,84.1,15,11,0.41,2.05
sedan,49.2,47.8,13.6,12.2,6,5,0.19,60.09
suv,58.8,5.0,11.2,26.5,16,20,0.52,2.52
motorcycle,16.7,2.2,47.3,33.3,14,5,0.72,3.38
motorcycle,17.9,6.1,34.0,53.6,7,17,0.26,4.17
suv,61.1,52.2,14.3,55.9,26,14,0.57,15.82
sedan,48.7,30.5,18.2,83.5,27,5,0.87,7.45
suv,54.9,48.6,10.7,19.4,24,5,0.48,31.14
suv,56.2,55.6,15.2,38.0,27,17,0.69,25.56
suv,70.2,1.2,11.8,28.0,27,17,0.98,0.61
hatchback,32.6,1.2,19.0,23.5,11,11,0.03,0.96
motorcycle,13.3,1.3,45.0,63.1,5,19,0.24,0.96
truck,86.1,60.5,10.0,92.6,20,9,0.38,7.47
truck,111.3,9.6,9.0,85.6,28,14,0.26,1.03
hatchback,34.4,2.5,21.3,108.3,2,5,0.55,0.54
suv,73.5,51.6,15.3,106.9,9,10,0.31,8.3
hatchback,39.2,8.1,20.6,57.5,21,11,0.24,3.64
hatchback,36.5,8.5,22.8,61.1,20,6,0.04,3.03
sedan,54.8,29.7,14.9,80.6,14,11,0.82,6.6
motorcycle,13.1,13.0,48.2,102.1,12,13,0.47,6.53
truck,96.6,59.2,11.3,26.9,4,14,0.47,27.11
suv,51.8,6.6,14.5,90.5,25,9,0.12,1.12
truck,73.9,72.0,9.0,109.3,6,5,0.33,6.7
truck,92.2,40.3,10.0,72.6,29,6,0.01,5.25
motorcycle,12.2,10.0,32.7,31.3,29,8,0.42,11.98
truck,79.3,57.4,9.9,42.4,24,10,0.21,13.76
truck,85.3,5.2,9.6,13.9,2,6,0.23,3.71
hatchback,33.1,28.5,15.9,119.7,17,8,0.39,4.09
motorcycle,14.4,4.6,34.8,40.8,28,5,0.06,3.69
sedan,38.1,36.2,17.4,12.3,7,13,0.81,59.76
suv,76.2,31.8,10.2,61.5,21,13,0.52,5.7
truck,60.5,5.7,10.0,51.0,4,11,0.63,1.31
suv,54.9,46.6,9.1,9.1,16,15,0.98,53.38
sedan,37.2,4.7,19.5,40.9,21,5,0.89,2.73
suv,53.9,21.0,15.4,75.9,11,13,0.91,5.34
sedan,46.2,28.0,15.5,47.7,6,3,0.75,10.58
hatchback,30.0,19.5,21.5,33.6,29,17,0.22,13.91
truck,72.7,41.1,11.6,75.0,28,8,0.78,7.45
sedan,40.4,3.8,16.8,104.7,4,20,0.93,0.83
suv,58.2,31.4,8.5,53.9,22,17,0.05,4.88
truck,115.8,54.9,11.0,6.4,10,20,0.11,97.68
hatchback,38.8,10.2,15.7,73.2,23,3,0.33,2.23
truck,116.1,39.8,12.0,117.5,8,16,0.02,4.11
sedan,45.9,4.9,21.0,95.8,7,5,0.61,1.34
hatchback,35.8,17.3,20.4,112.3,26,6,0.41,3.84
suv,63.8,61.6,14.6,24.2,23,11,0.18,39.13
hatchback,31.8,9.7,21.3,97.9,4,20,0.16,2.21
hatchback,39.7,28.2,19.0,21.7,20,13,0.98,29.24
motorcycle,16.1,2.6,46.8,13.5,15,5,0.62,11.0
hatchback,30.3,11.4,15.0,39.5,14,17,0.92,4.78
hatchback,38.8,8.4,22.0,40.2,22,8,0.89,5.36
truck,84.8,29.8,8.5,12.1,29,6,0.82,23.38
suv,58.3,55.1,8.7,68.0,6,16,0.41,7.87
truck,74.0,29.2,8.7,65.7,17,10,0.2,3.97
truck,76.2,15.9,8.5,82.0,2,14,0.65,1.95
sedan,44.7,2.5,21.2,108.8,27,15,0.46,0.53
truck,69.6,14.0,10.0,10.8,6,19,0.15,13.46
motorcycle,14.3,11.0,43.8,23.8,18,10,0.15,19.53
motorcycle,10.5,1.5,52.9,39.6,13,20,0.62,1.95
sedan,45.1,14.5,19.3,68.4,27,18,0.67,4.85
suv,50.0,27.0,9.7,15.8,0,6,0.75,19.36
suv,62.4,42.1,11.9,55.3,25,15,0.35,9.29
truck,65.6,43.6,8.8,54.5,10,6,0.41,7.74
truck,107.4,95.7,9.9,11.9,13,6,0.24,79.28
truck,106.5,69.4,9.3,81.8,20,10,0.44,8.32
suv,69.0,44.3,14.3,38.0,7,20,0.89,20.22
hatchback,35.7,32.8,22.7,54.0,24,10,0.22,15.45
motorcycle,15.4,13.5,53.2,96.5,28,15,0.32,8.22
hatchback,40.4,2.3,19.9,44.9,5,9,0.84,1.23
hatchback,35.7,2.6,21.1,111.9,23,12,0.58,0.52
suv,75.7,35.8,12.2,91.7,28,11,0.64,5.57
hatchback,44.1,43.3,23.5,99.8,9,12,0.66,11.37
sedan,35.1,5.7,16.4,21.9,7,17,0.81,4.83
truck,64.3,16.8,10.7,97.4,25,9,1.0,2.2
sedan,40.0,30.6,15.0,97.7,5,18,0.28,5.05
motorcycle,15.1,9.0,58.3,35.7,9,10,0.99,18.69
truck,67.9,31.4,6.3,27.1,16,3,0.62,7.91
hatchback,36.7,6.7,19.3,37.4,1,8,0.47,3.68
motorcycle,14.0,4.3,30.9,19.5,13,4,0.44,7.45
truck,68.8,7.8,7.1,96.8,19,11,0.41,0.63
hatchback,43.7,26.1,18.0,104.2,5,7,0.9,5.76
sedan,48.9,46.1,14.5,84.9,23,4,0.7,8.67
truck,94.0,42.5,10.1,48.5,23,15,0.43,9.19
hatchback,30.6,1.5,20.5,67.2,14,4,0.79,0.54
sedan,45.0,26.6,20.4,114.4,13,10,0.15,5.06
motorcycle,11.9,9.4,36.7,116.5,6,14,0.69,3.17
motorcycle,16.9,16.4,52.4,61.5,12,6,0.14,13.8
motorcycle,18.1,11.3,59.0,117.6,1,10,0.49,6.19
motorcycle,19.6,16.6,58.2,97.7,2,17,0.78,10.57
suv,58.8,41.9,13.6,26.2,3,9,0.85,28.07
truck,61.4,16.1,8.1,77.5,2,18,0.76,1.9
truck,81.9,67.1,5.7,83.2,13,13,0.8,5.78
suv,78.0,2.6,8.1,93.6,23,17,0.29,0.23
hatchback,37.4,2.5,15.9,53.8,14,12,0.87,0.92
hatchback,42.9,9.5,17.6,117.7,9,16,0.07,1.36
motorcycle,15.3,2.9,49.9,96.1,29,14,0.85,1.7
sedan,42.8,38.5,14.4,86.2,25,12,0.83,7.5
hatchback,36.1,22.7,23.0,95.8,15,18,0.78,5.98
sedan,48.0,4.1,13.0,43.1,7,19,0.46,1.36
truck,80.3,3.7,6.1,18.2,21,16,0.21,1.27
sedan,39.7,10.5,20.3,68.0,12,16,0.34,3.04
truck,85.7,6.2,10.7,44.6,5,14,0.85,1.89
suv,76.6,76.4,13.8,41.2,4,5,0.09,26.75
suv,59.1,29.9,9.5,58.7,25,18,0.37,5.32
motorcycle,13.5,10.3,56.5,26.4,24,18,0.81,25.69
hatchback,32.1,10.7,20.2,106.8,1,11,0.27,2.19
motorcycle,15.2,10.2,56.3,49.4,21,15,0.44,13.28
truck,90.0,63.1,7.6,104.3,23,10,0.11,4.68
motorcycle,19.6,13.6,59.5,66.2,15,10,0.44,14.11
sedan,54.6,20.9,21.6,96.7,25,10,0.78,5.28
truck,95.6,27.8,5.8,83.7,1,11,0.67,2.26
suv,69.4,56.4,9.1,95.1,2,16,0.85,6.55
hatchback,36.3,26.8,21.2,77.6,5,19,0.45,8.46
truck,67.3,38.1,6.9,49.2,0,18,0.38,5.8
truck,60.6,29.0,7.0,59.9,2,8,0.93,4.29
sedan,35.8,24.8,20.5,115.3,14,11,0.4,4.76
hatchback,41.1,40.2,14.4,67.1,18,7,0.24,8.81
suv,69.1,12.1,10.3,94.9,11,4,0.61,1.49
truck,95.2,29.6,7.7,25.2,3,11,0.71,10.38
truck,72.0,12.3,5.5,109.9,3,11,0.34,0.64
sedan,49.3,43.0,13.8,83.9,20,7,0.3,6.9
motorcycle,10.1,5.7,34.5,10.1,23,20,0.18,20.55
suv,67.1,43.5,8.8,9.6,29,6,0.82,47.58
hatchback,37.0,9.0,22.3,31.3,29,12,0.45,6.38
truck,114.0,11.0,6.0,78.1,26,12,0.1,0.85
truck,104.0,77.5,9.1,61.0,6,13,0.35,12.08
suv,67.5,19.5,11.7,69.3,26,19,0.23,3.47
motorcycle,10.8,7.1,46.4,82.3,24,9,0.54,4.67
truck,79.2,34.7,5.4,119.1,4,7,0.82,1.71
suv,60.3,21.3,9.8,83.6,15,10,0.36,2.56
sedan,36.2,7.7,16.5,62.9,0,11,0.65,2.19
motorcycle,13.4,5.6,53.5,68.5,9,16,0.83,5.23
hatchback,44.4,1.3,14.9,82.5,18,4,0.82,0.27
truck,60.7,49.2,5.9,38.4,15,16,0.05,7.38
suv,75.6,53.4,14.4,65.6,10,11,0.06,11.72
sedan,42.4,41.6,13.1,69.7,21,13,0.35,8.29
hatchback,30.7,26.4,16.2,99.5,11,6,0.08,4.33
suv,67.5,20.3,8.8,109.4,15,10,0.24,1.55
suv,71.0,43.5,8.2,27.8,1,14,0.45,13.27
hatchback,37.8,27.3,20.8,47.9,29,12,0.62,13.46
sedan,44.9,28.1,20.8,90.1,6,6,0.31,6.73
sedan,40.6,35.6,20.6,66.4,26,15,0.23,11.1
motorcycle,17.0,1.2,50.5,102.1,22,16,0.82,0.7
truck,103.5,90.3,6.2,13.5,24,6,0.16,43.82
hatchback,35.4,34.0,14.4,111.6,27,13,0.06,4.45
hatchback,44.2,9.7,17.0,61.5,21,6,0.67,3.05
hatchback,40.8,4.5,20.3,57.2,10,7,0.78,1.88
sedan,44.9,2.8,13.6,19.7,8,12,0.01,1.96
truck,83.0,34.6,8.2,13.5,24,19,0.66,25.11
motorcycle,15.0,5.7,54.8,88.7,20,11,0.85,4.13
suv,56.4,51.7,9.5,10.6,14,14,0.73,55.28
suv,77.7,49.9,15.6,15.6,16,14,0.79,58.29
hatchback,36.1,26.6,16.6,14.0,9,20,0.67,37.3
truck,64.0,4.4,9.1,107.0,21,5,0.88,0.45
sedan,43.9,13.5,16.2,56.2,12,6,0.78,4.25
truck,77.3,26.5,10.5,18.4,18,13,0.56,16.61
truck,101.6,85.3,11.7,74.6,11,8,0.73,14.21
sedan,40.0,5.4,17.5,22.4,27,5,0.28,4.48
hatchback,36.5,10.9,22.4,28.0,9,11,0.39,10.1
truck,114.4,98.1,8.6,32.4,12,8,0.95,31.87
suv,61.1,60.2,10.9,45.4,3,5,0.96,16.76
sedan,54.5,38.8,19.5,69.8,9,3,0.87,12.96
motorcycle,10.5,8.7,38.2,118.7,19,16,0.73,3.01
hatchback,37.5,29.0,15.3,40.7,15,10,0.81,12.76
sedan,49.6,44.5,21.4,61.5,18,18,0.47,17.22
motorcycle,15.6,10.2,59.7,110.5,24,9,0.11,5.47
motorcycle,13.6,12.0,43.1,70.2,28,15,0.87,8.43
truck,106.4,9.6,11.0,36.5,27,16,0.56,3.1
truck,68.6,32.4,11.7,46.5,14,12,0.71,9.46
truck,99.1,17.5,7.2,65.9,12,13,0.95,2.51
sedan,51.9,49.3,17.4,111.9,19,17,0.26,9.02
sedan,53.6,36.1,16.1,83.2,20,19,0.11,7.43
hatchback,40.9,10.1,23.6,7.9,24,7,0.26,32.62
truck,62.9,26.1,9.4,106.5,26,10,0.81,2.92
motorcycle,18.4,9.1,53.6,60.5,12,14,0.97,9.51
suv,60.3,8.3,12.0,19.3,0,8,0.95,5.93
hatchback,38.2,32.3,21.5,88.2,25,3,0.16,7.87
sedan,42.0,40.8,21.2,28.1,4,16,0.01,31.95
hatchback,31.1,4.2,20.5,91.9,6,20,0.49,0.96
hatchback,44.2,41.8,17.1,98.1,29,12,0.98,9.38
hatchback,41.5,21.1,22.0,35.0,4,13,0.43,14.31
hatchback,44.2,22.6,20.4,76.8,11,10,0.39,6.37
suv,52.9,13.6,11.0,67.2,27,6,0.36,2.25
truck,94.2,82.9,7.0,76.7,8,5,0.35,7.44
motorcycle,13.8,3.0,40.6,22.3,26,19,0.08,5.63
hatchback,32.8,23.0,23.0,115.9,26,4,0.21,4.92
hatchback,43.3,28.1,17.1,30.8,12,8,0.33,16.3
hatchback,37.1,11.1,14.1,29.8,29,14,0.28,5.42
truck,74.2,58.0,9.2,28.7,6,12,0.82,21.54
sedan,39.2,13.8,18.6,69.5,0,17,0.02,3.65
sedan,40.9,8.3,18.2,38.8,27,11,0.91,4.48
suv,70.9,18.2,10.9,90.2,14,13,0.18,2.23
sedan,36.3,4.2,13.4,86.9,25,10,0.42,0.67
hatchback,30.6,23.1,16.2,113.0,22,15,0.45,3.74
hatchback,39.1,36.6,18.2,98.0,10,17,0.84,8.31
hatchback,33.9,10.5,20.8,29.5,2,7,0.67,8.05
suv,61.4,11.6,13.2,92.2,27,18,0.45,1.81
hatchback,34.3,18.4,17.8,31.4,6,13,0.8,11.81
sedan,38.4,32.4,15.3,91.0,13,19,0.99,6.93
truck,108.0,94.0,9.9,26.4,29,16,0.86,38.23
truck,93.7,40.0,9.6,60.6,2,4,0.26,6.45
motorcycle,17.0,13.1,47.5,16.2,28,9,0.95,48.52
sedan,54.2,43.5,18.9,116.7,5,20,0.71,7.49
hatchback,35.4,8.6,23.2,54.1,28,9,0.03,3.94
truck,83.3,50.6,6.5,52.9,29,20,0.57,6.81
sedan,53.0,47.9,21.4,108.0,5,8,0.67,11.59
truck,76.1,74.5,11.0,90.8,1,11,0.44,10.2
hatchback,41.4,12.3,16.2,34.4,3,12,0.47,5.98
truck,82.3,80.1,6.6,99.1,15,9,0.01,4.95
motorcycle,19.9,15.3,50.5,51.6,10,17,0.25,16.26
motorcycle,11.8,5.6,42.7,92.4,19,12,0.09,2.74
truck,93.8,71.7,10.5,22.0,1,13,0.86,38.63
sedan,51.1,5.5,20.6,40.8,28,15,0.09,2.58
sedan,36.8,25.8,14.1,112.5,23,11,0.46,3.85
sedan,44.0,6.5,20.8,54.3,12,17,0.53,2.67
truck,98.8,28.0,10.6,82.0,16,15,0.96,4.43
sedan,41.2,30.9,12.5,10.3,15,9,0.43,37.42
hatchback,35.1,21.7,21.0,28.1,7,3,0.96,17.65
motorcycle,18.0,9.9,37.2,28.8,9,10,0.68,15.56
hatchback,40.2,13.9,22.9,35.6,28,5,0.61,9.61
sedan,46.6,32.1,18.8,78.3,7,20,0.39,8.21
hatchback,35.5,10.1,14.1,26.0,25,11,0.87,5.93
sedan,41.1,14.2,17.1,45.7,14,9,0.67,5.83
truck,96.3,24.3,10.7,96.9,6,8,0.85,3.19
hatchback,37.6,36.0,23.7,78.8,26,4,0.33,12.05
truck,61.3,7.5,6.9,12.5,16,4,1.0,5.06
truck,98.6,89.1,5.8,41.3,15,9,0.41,13.01
suv,68.5,49.3,8.4,81.4,27,15,0.65,5.83
sedan,37.0,4.4,12.9,117.3,1,13,0.21,0.5
motorcycle,10.5,10.2,42.8,73.8,13,14,0.2,5.94
sedan,37.0,18.2,20.1,49.3,6,18,0.47,8.41
motorcycle,17.9,12.9,35.8,63.7,20,14,0.95,7.17
sedan,41.2,14.6,17.1,40.3,7,10,0.44,6.85
truck,77.5,12.9,9.7,8.0,28,8,0.34,17.37
hatchback,44.6,23.2,19.4,33.3,9,8,0.03,14.38
hatchback,40.3,13.2,19.4,34.3,18,16,0.45,8.42
suv,71.2,19.4,12.0,58.7,1,13,0.28,4.18
motorcycle,18.2,4.1,52.9,33.6,26,7,0.85,7.61
motorcycle,11.5,5.9,52.0,5.6,25,10,0.02,54.93
motorcycle,19.9,15.4,41.2,23.0,28,5,0.96,29.94
truck,71.6,50.0,8.8,74.5,2,15,0.73,6.78
motorcycle,10.4,8.5,46.0,50.0,23,12,0.61,8.65
hatchback,35.0,12.9,14.9,23.4,2,15,0.37,8.33
truck,113.7,24.2,7.9,40.8,6,14,0.05,4.59
sedan,54.9,31.8,13.4,36.3,2,19,0.12,11.66
motorcycle,18.0,9.4,48.9,43.1,20,5,0.26,11.81
motorcycle,11.5,7.5,55.6,18.8,23,3,0.71,23.65
sedan,49.4,11.4,13.1,91.2,11,14,0.22,1.61
motorcycle,19.2,5.2,44.0,115.1,29,12,0.82,2.21
sedan,47.1,17.6,16.4,100.1,5,10,0.09,2.91
truck,80.9,17.3,11.3,30.0,3,13,0.88,7.95
hatchback,30.5,25.4,18.1,80.7,24,3,0.02,5.61
sedan,42.8,35.4,14.1,104.6,22,5,0.87,5.71
suv,59.3,50.4,12.0,76.3,14,7,0.71,8.52
sedan,47.7,12.2,14.2,47.5,11,9,0.7,3.89
motorcycle,16.8,8.5,52.4,6.6,6,12,0.68,79.77
truck,111.8,3.6,8.7,5.5,22,16,0.54,6.32
truck,73.2,55.4,7.1,36.8,23,6,0.63,11.89
sedan,42.8,38.9,21.0,28.4,18,4,0.56,32.03
hatchback,42.8,23.2,23.7,96.9,11,4,0.6,6.03
suv,64.6,35.5,14.1,50.2,9,9,0.53,10.57
truck,83.7,76.6,11.0,57.3,12,20,0.12,14.59
motorcycle,11.8,9.7,47.4,115.0,5,11,0.01,3.92
motorcycle,19.8,16.2,31.1,25.3,21,16,0.09,20.6
hatchback,37.3,4.0,21.3,50.6,21,9,0.29,1.83
truck,74.5,24.8,10.7,54.0,7,14,0.43,5.09
sedan,40.8,40.1,17.9,38.5,10,7,0.03,18.88
motorcycle,18.4,6.1,55.2,60.0,23,5,0.8,6.99
hatchback,42.6,41.1,14.9,6.0,24,6,0.55,108.37
truck,85.2,77.6,6.6,16.2,21,9,0.1,30.41
truck,92.9,92.1,6.5,48.2,5,11,0.73,12.89
truck,88.9,22.6,9.3,67.0,5,18,0.41,3.44
truck,111.0,81.8,11.2,89.6,18,17,0.05,10.31
truck,87.4,65.5,9.1,25.1,12,17,0.32,24.23
motorcycle,15.1,13.1,52.3,101.1,20,9,0.72,7.27
hatchback,40.1,15.4,18.1,110.5,4,4,0.91,2.71
truck,65.9,12.3,9.8,6.9,0,14,0.59,20.79
suv,51.4,13.1,12.8,9.1,16,13,0.92,22.17
suv,63.8,45.8,9.8,17.6,26,6,0.58,29.93
hatchback,37.2,20.3,18.8,55.9,21,20,0.49,7.05
